,rms,peak,par,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,energy_variance,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4
FN,0.0073,0.0404,5.2141,407.6318,718.7955,691.3701,0.0304,0.8455,-506.1668,109.6547,44.7264,59.6702,7.0037
FP,0.0069,0.0567,6.2831,520.5073,833.5885,1280.7435,0.0237,0.5263,-531.6811,94.9758,20.8659,51.2742,8.8422
TN,0.0057,0.0283,4.4789,452.6991,779.8535,984.8608,0.022,0.0202,-526.2092,95.7545,34.8612,55.2759,6.454
TP,0.0062,0.0538,6.0134,583.9778,866.9167,1410.9896,0.0282,1.7208,-546.4187,114.1531,0.3612,55.2393,10.5008
